smart_city,population_2020,population_source,overall_rating,overall_ranking,capture_date,totalcount,CVE-2017-1000369,CVE-2017-1000600,CVE-2017-1001000,CVE-2017-10140,CVE-2017-10391,CVE-2017-11142,CVE-2017-11143,CVE-2017-11144,CVE-2017-11145,CVE-2017-11147,CVE-2017-11362,CVE-2017-11364,CVE-2017-11612,CVE-2017-11628,CVE-2017-12172,CVE-2017-12868,CVE-2017-12932,CVE-2017-12933,CVE-2017-12934,CVE-2017-14595,CVE-2017-14596,CVE-2017-14718,CVE-2017-14719,CVE-2017-14720,CVE-2017-14721,CVE-2017-14722,CVE-2017-14723,CVE-2017-14724,CVE-2017-14725,CVE-2017-14726,CVE-2017-14798,CVE-2017-14990,CVE-2017-15098,CVE-2017-15099,CVE-2017-15130,CVE-2017-15132,CVE-2017-15710,CVE-2017-15715,CVE-2017-15906,CVE-2017-16510,CVE-2017-16633,CVE-2017-16634,CVE-2017-16642,CVE-2017-16944,CVE-2017-17091,CVE-2017-17663,CVE-2017-3167,CVE-2017-3169,CVE-2017-3239,CVE-2017-3247,CVE-2017-3249,CVE-2017-3250,CVE-2017-3626,CVE-2017-3730,CVE-2017-3731,CVE-2017-3732,CVE-2017-3735,CVE-2017-3736,CVE-2017-3737,CVE-2017-3738,CVE-2017-5340,CVE-2017-5487,CVE-2017-5488,CVE-2017-5489,CVE-2017-5490,CVE-2017-5491,CVE-2017-5492,CVE-2017-5493,CVE-2017-5610,CVE-2017-5611,CVE-2017-5612,CVE-2017-6377,CVE-2017-6379,CVE-2017-6381,CVE-2017-6441,CVE-2017-6514,CVE-2017-6814,CVE-2017-6815,CVE-2017-6816,CVE-2017-6817,CVE-2017-6818,CVE-2017-6819,CVE-2017-6919,CVE-2017-6920,CVE-2017-6921,CVE-2017-6922,CVE-2017-6923,CVE-2017-6924,CVE-2017-6925,CVE-2017-6926,CVE-2017-6927,CVE-2017-6928,CVE-2017-6929,CVE-2017-6932,CVE-2017-7189,CVE-2017-7269,CVE-2017-7272,CVE-2017-7418,CVE-2017-7484,CVE-2017-7485,CVE-2017-7486,CVE-2017-7546,CVE-2017-7547,CVE-2017-7548,CVE-2017-7659,CVE-2017-7668,CVE-2017-7679,CVE-2017-7890,CVE-2017-7963,CVE-2017-7983,CVE-2017-7984,CVE-2017-7986,CVE-2017-7987,CVE-2017-7988,CVE-2017-7989,CVE-2017-8057,CVE-2017-8295,CVE-2017-9061,CVE-2017-9062,CVE-2017-9063,CVE-2017-9064,CVE-2017-9065,CVE-2017-9066,CVE-2017-9067,CVE-2017-9118,CVE-2017-9120,CVE-2017-9788,CVE-2017-9789,CVE-2017-9798,CVE-2017-9933,CVE-2017-9934,CVE-2018-0732,CVE-2018-0733,CVE-2018-0734,CVE-2018-0735,CVE-2018-0737,CVE-2018-0739,CVE-2018-1000024,CVE-2018-1000027,CVE-2018-1000773,CVE-2018-10100,CVE-2018-10101,CVE-2018-10102,CVE-2018-1053,CVE-2018-10545,CVE-2018-10546,CVE-2018-10547,CVE-2018-10548,CVE-2018-10549,CVE-2018-1058,CVE-2018-10915,CVE-2018-10925,CVE-2018-1115,CVE-2018-11321,CVE-2018-11322,CVE-2018-11323,CVE-2018-11324,CVE-2018-11325,CVE-2018-11326,CVE-2018-11327,CVE-2018-11328,CVE-2018-1172,CVE-2018-11756,CVE-2018-11763,CVE-2018-12711,CVE-2018-12712,CVE-2018-1283,CVE-2018-12882,CVE-2018-12895,CVE-2018-1301,CVE-2018-1302,CVE-2018-1303,CVE-2018-1312,CVE-2018-1333,CVE-2018-14028,CVE-2018-14851,CVE-2018-14883,CVE-2018-14884,CVE-2018-15132,CVE-2018-15473,CVE-2018-15880,CVE-2018-15881,CVE-2018-15882,CVE-2018-15919,CVE-2018-16850,CVE-2018-17082,CVE-2018-17189,CVE-2018-17199,CVE-2018-17855,CVE-2018-17856,CVE-2018-17857,CVE-2018-17858,CVE-2018-17859,CVE-2018-19052,CVE-2018-19131,CVE-2018-19132,CVE-2018-19395,CVE-2018-19396,CVE-2018-19518,CVE-2018-19520,CVE-2018-19935,CVE-2018-20147,CVE-2018-20148,CVE-2018-20149,CVE-2018-20150,CVE-2018-20151,CVE-2018-20152,CVE-2018-20153,CVE-2018-20685,CVE-2018-20783,CVE-2018-2911,CVE-2018-3152,CVE-2018-5407,CVE-2018-6376,CVE-2018-6377,CVE-2018-6378,CVE-2018-6379,CVE-2018-6380,CVE-2018-6389,CVE-2018-6789,CVE-2018-7584,CVE-2018-7600,CVE-2018-7602,CVE-2018-8011,CVE-2018-8045,CVE-2018-8581,CVE-2018-9861,CVE-2019-0190,CVE-2019-0196,CVE-2019-0197,CVE-2019-0211,CVE-2019-0215,CVE-2019-0217,CVE-2019-0220,CVE-2019-0708,CVE-2019-10129,CVE-2019-10130,CVE-2019-10149,CVE-2019-10164,CVE-2019-10691,CVE-2019-10909,CVE-2019-10945,CVE-2019-10946,CVE-2019-11034,CVE-2019-11035,CVE-2019-11036,CVE-2019-11038,CVE-2019-11039,CVE-2019-11040,CVE-2019-11072,CVE-2019-11358,CVE-2019-11510,CVE-2019-11809,CVE-2019-11876,CVE-2019-12525,CVE-2019-12527,CVE-2019-12529,CVE-2019-12764,CVE-2019-12765,CVE-2019-12766,CVE-2019-12815,CVE-2019-13345,CVE-2019-13917,CVE-2019-14654,CVE-2019-1543,CVE-2019-1552,CVE-2019-1559,CVE-2019-1652,CVE-2019-1653,CVE-2019-19781,CVE-2019-3814,CVE-2019-6109,CVE-2019-6110,CVE-2019-6111,CVE-2019-6261,CVE-2019-6262,CVE-2019-6263,CVE-2019-6264,CVE-2019-6338,CVE-2019-6339,CVE-2019-6340,CVE-2019-6341,CVE-2019-6977,CVE-2019-7524,CVE-2019-7739,CVE-2019-7740,CVE-2019-7741,CVE-2019-7742,CVE-2019-7743,CVE-2019-7744,CVE-2019-8942,CVE-2019-8943,CVE-2019-9020,CVE-2019-9021,CVE-2019-9022,CVE-2019-9023,CVE-2019-9024,CVE-2019-9025,CVE-2019-9193,CVE-2019-9637,CVE-2019-9638,CVE-2019-9639,CVE-2019-9640,CVE-2019-9641,CVE-2019-9675,CVE-2019-9711,CVE-2019-9712,CVE-2019-9713,CVE-2019-9714,CVE-2019-9787,CVE-2020-0796,CVE-2020-11651,CVE-2020-11652,CVE-2020-1938,CVE-2020-5902,MS17-010
Abu Dhabi,1482816,World Population Review,5,56,02/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abuja,3277740,World Population Review,1,97,02/08/2020,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,41,41,31,0,0,0,6,0,0,0,33,33,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,3,34,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,8,8,8,8,8,5,0,0,5,0,0,0,0,0,0,0,0,0,0,34,0,0,42,1,0,5,5,5,47,35,0,1,9,0,9,2,0,0,0,20,0,9,2,46,0,0,0,0,0,83,0,0,8,8,5,7,13,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,38,38,38,4,2,48,3,0,0,0,0,0,0,0,0,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,12,12,4,12,12,0,5,15,15,15,4,15,1,0,0,0,0,0,3,0,0,1,0,1
Amsterdam,1148972,World Population Review,8,11,02/08/2020,1642976,875,468,19,0,3,381,187,492,492,168,305,2,2,492,1837,965,389,492,305,0,2,16,406,16,16,90,16,16,16,16,428,18,1825,723,11,11,73450,73452,54539,18,0,2,7616,926,7,0,35800,35803,3,3,3,3,3,0,113,73,7949,7391,7375,7457,128,3,3,3,3,3,3,3,4,4,4,0,0,5,7,12,12,12,12,12,12,12,5,5,5,72,6,5,5,0,72,72,77,72,150,91,4,0,979,979,1147,1020,1020,822,6578,35859,59000,494,25,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1774,14,737,47468,35,47782,1,1,7690,81,8380,772,7693,7581,17585,18523,132,287,583,287,108,8251,8315,8316,8315,8316,1014,108,108,1189,1,1,1,1,1,1,1,1,2248,18,47806,1,1,73803,409,610,25925,25926,25925,85526,47124,12,1553,8910,626,8912,175,1,1,1,29536,108,9093,919,75898,1,1,1,1,1,1975,17633,18575,8618,8618,2820,7446,11199,785,785,785,785,786,786,786,712,9345,3,3,7672,1,1,1,1,1,7,1618,900,51,114,358,0,81,23,1582,52543,52547,52551,4739,3826,79399,345,0,67,1649,0,11,493,1,1,1341,1341,1963,2188,2188,2188,108,365,0,1,47,14101,139,18621,1,0,0,532,1,1655,0,859,8476,7616,10,10,26,11,699,699,699,1,1,1,1,311,311,61,362,9110,11,1,1,1,1,1,1,792,26,10458,10459,2866,10462,10461,14,1006,11874,11874,11874,1672,11874,2149,1,1,0,1,846,302,2,2,174,20,15
Ankara,5117603,World Population Review,4,74,02/08/2020,29723,3,3,1,0,0,22,14,24,24,9,10,0,0,24,23,14,14,24,10,0,0,0,3,0,0,1,0,0,0,0,18,0,23,6,0,0,803,803,599,0,0,0,401,3,0,0,598,598,0,0,0,0,0,0,29,11,183,137,136,140,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,7,90,0,0,15,15,20,16,16,6,83,603,1003,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,18,632,1,645,0,0,160,4,238,87,160,142,9,10,1,3,3,3,2,429,430,430,430,431,15,2,2,23,0,0,0,0,0,0,0,0,2,2,439,0,0,806,12,4,162,162,162,1186,408,0,59,457,25,457,1,0,0,0,428,2,460,30,945,0,0,0,0,0,608,9,10,433,433,156,399,522,5,5,5,5,5,5,5,52,469,0,0,158,0,0,0,0,0,0,0,40,1,1,36,0,1,1,102,563,563,563,89,59,949,158,0,1,7,0,0,7,0,0,50,50,64,69,69,69,3,4,0,0,0,5,0,10,0,0,0,13,0,7,0,87,242,155,0,0,0,0,51,51,51,0,0,0,0,5,5,1,5,463,0,0,0,0,0,0,0,5,0,518,518,77,518,518,1,16,553,553,553,63,553,53,0,0,0,0,5,87,0,0,19,0,5
Athens,3153355,World Population Review,2,95,02/08/2020,70775,5,9,0,0,5,30,13,39,39,14,26,0,0,39,119,44,26,38,26,0,0,0,9,0,0,1,0,0,0,0,146,0,113,20,0,0,1954,1954,846,0,0,0,706,5,0,0,1772,1772,5,5,5,5,5,0,25,19,436,283,282,286,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,10,10,10,14,259,0,0,97,97,126,103,103,22,240,1780,2610,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,37,1495,6,1519,0,0,303,4,349,46,302,293,841,841,0,6,10,6,6,759,764,764,764,764,98,6,6,167,0,0,0,0,0,0,0,0,18,0,1064,0,0,1965,19,11,435,435,435,3093,1042,0,142,857,35,857,3,0,0,0,487,6,860,77,2093,0,0,0,0,0,2213,843,843,804,804,265,753,918,11,11,11,11,11,11,11,83,858,5,5,302,0,0,0,0,0,0,5,63,1,16,28,0,18,1,125,1414,1415,1417,356,279,2358,238,0,5,4,0,0,41,0,0,51,51,77,83,83,83,45,25,0,0,2,826,3,835,0,0,0,8,0,4,0,61,362,301,7,7,0,0,81,81,81,0,0,0,0,22,22,5,25,856,0,0,0,0,0,0,0,11,0,924,924,106,925,924,1,94,1300,1300,1300,66,1300,82,0,0,0,0,11,38,0,0,10,0,4
Auckland,1606564,World Population Review,8,6,02/08/2020,57410,4,10,0,0,0,35,17,37,37,18,20,0,0,37,49,14,21,37,20,0,0,0,10,0,0,3,0,0,0,0,80,0,46,35,1,1,1875,1875,1471,0,0,0,498,4,0,0,1495,1495,0,0,0,0,0,0,14,8,271,196,195,199,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,16,138,0,0,36,36,47,40,40,37,222,1491,2114,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,25,1391,0,1418,0,0,282,4,345,70,282,272,48,51,2,6,11,6,3,520,520,520,520,520,37,3,3,115,0,0,0,0,0,0,0,0,14,2,1136,0,0,1874,12,16,454,454,454,2614,1087,1,202,697,22,697,10,0,0,0,1135,3,700,29,1980,0,0,0,0,0,1400,48,51,677,677,325,623,806,20,20,20,20,20,20,20,84,705,0,0,284,0,0,0,0,0,0,10,35,1,10,33,0,88,1,89,1353,1353,1353,225,196,2156,97,0,3,52,0,1,20,0,0,64,64,83,106,106,106,14,11,0,0,0,37,1,52,0,0,0,25,0,52,0,79,355,276,0,0,0,1,83,83,83,0,0,0,0,11,11,2,11,704,1,0,0,0,0,0,0,20,0,782,782,115,783,783,2,37,888,888,888,74,888,94,0,0,0,0,20,20,0,0,8,0,1
Bangkok,10539415,World Population Review,4,75,02/08/2020,236459,60,23,3,0,0,249,201,262,262,20,61,2,2,262,140,66,129,262,61,1,2,0,21,0,0,7,0,0,0,0,66,0,122,66,1,1,4130,4130,4616,0,1,2,4867,66,2,0,3407,3407,0,0,0,0,0,0,302,129,1502,1008,1004,1021,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,1,1,4,1,1,1,0,3,3,4,3,10,409,0,0,74,74,117,93,93,70,413,3420,6335,263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1589,0,81,3366,56,3507,1,2,1106,17,1339,243,1106,1058,327,441,6,18,29,18,4,5043,5063,5062,5063,5063,75,4,4,132,2,2,2,2,2,2,2,2,20,8,2229,2,2,4149,63,32,649,649,649,7225,2101,3,406,5260,170,5260,11,2,2,2,2754,4,5282,251,4594,2,2,2,2,2,6451,329,443,5137,5137,1084,4916,5683,41,41,41,41,41,41,41,55,5185,0,0,1111,2,2,2,2,2,0,122,215,2,3,97,1,5,2,465,2761,2761,2761,532,283,4834,808,0,2,153,0,1,17,2,2,374,374,450,476,476,476,15,14,0,2,0,393,6,444,2,0,1,138,3,163,0,303,1419,1116,78,78,7,1,55,55,55,2,2,2,2,13,13,3,14,5189,1,2,2,2,2,2,2,40,6,5530,5532,510,5532,5532,9,73,5943,5943,5943,421,5943,410,2,2,0,2,51,133,1,1,64,5,18
Barcelona,5585556,World Population Review,6,48,02/08/2020,114004,18,33,0,0,0,47,10,63,63,29,53,0,0,63,69,44,63,63,53,0,0,0,30,0,0,3,0,0,0,0,34,1,68,22,1,1,3954,3954,1914,1,0,0,1122,18,1,0,2771,2771,0,0,0,0,0,0,45,35,661,380,373,399,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,11,1,1,1,0,11,11,12,11,31,253,0,0,38,38,50,41,41,30,435,2772,4220,63,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2,71,2796,7,2841,0,0,423,25,487,85,421,412,747,749,11,26,57,26,6,1189,1193,1193,1193,1193,40,6,6,59,0,0,0,0,0,0,0,0,15,3,2426,0,0,3962,30,39,1113,1113,1113,5394,2361,0,210,1288,84,1290,4,0,0,0,996,6,1295,130,4234,0,0,0,0,0,1544,747,749,1225,1226,384,1089,1468,70,70,70,70,70,70,70,34,1308,0,0,437,0,0,0,0,0,1,62,117,4,13,77,0,18,2,193,2941,2941,2941,516,387,4596,291,0,2,29,0,1,73,0,0,165,165,205,231,231,231,42,53,0,0,7,709,2,742,0,0,0,72,0,29,0,108,521,413,11,11,0,1,34,34,34,0,0,0,0,47,47,3,52,1292,1,0,0,0,0,0,0,70,2,1430,1430,262,1431,1431,1,39,1544,1544,1543,186,1544,217,0,0,0,0,74,85,0,0,7,0,2
Beijing,20462610,World Population Review,5,60,02/08/2020,331419,10,17,0,0,1,221,114,264,264,82,150,0,0,264,187,153,176,264,150,0,0,0,16,0,0,9,0,0,0,0,112,0,178,83,0,0,3211,3211,34409,0,0,0,3448,10,0,0,3037,3037,1,1,1,1,1,1,208,72,1145,722,714,932,72,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,10,1,1,1,0,9,9,10,9,75,1133,1,0,105,105,187,127,127,112,154,3044,4826,269,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,14,211,2648,15,3088,0,0,1014,217,1087,308,1012,973,16006,16007,4,11,19,11,22,3644,3673,3673,3673,3673,118,22,22,207,0,0,0,0,0,0,0,0,71,37,1840,0,0,3238,126,21,416,416,416,5740,1532,0,895,4171,298,4172,123,0,0,0,27963,22,4236,143,3714,0,0,0,0,0,2373,16026,16027,3858,3858,1544,3395,4657,25,25,25,25,25,25,25,245,4304,1,1,1002,0,0,0,0,0,0,7,349,8,16,132,0,19,2,316,2108,2108,2108,273,131,3827,3907,0,9,11,0,0,53,0,0,556,556,782,818,818,818,5,44,5,0,0,617,15,15948,0,0,0,8,1,11,0,430,1209,779,4,4,9,0,241,241,241,0,0,0,0,42,42,6,44,4263,0,0,0,0,0,0,0,25,2,4756,4755,893,4756,4758,5,119,5014,5015,5016,670,5018,670,0,0,0,0,26,11,0,0,434,6,5
Bengaluru,12327000,MacroTrends,3,79,02/08/2020,429357,92,51,2,2,6,43,24,56,56,17,32,1,1,56,789,90,37,56,32,0,1,4,40,4,4,15,4,4,4,4,83,8,781,244,0,0,24171,24171,5670,8,0,0,1024,92,2,0,7673,7674,6,6,6,6,6,0,27,13,1285,1190,1186,1200,14,2,2,2,2,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,2,16,2,2,2,0,14,14,16,14,16,69,4,0,275,275,328,289,289,260,323,7677,11044,56,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,198,2,65,9078,14,9144,0,0,1266,12,1834,578,1265,1248,709,709,17,30,78,30,23,1110,1136,1136,1136,1136,282,23,23,337,1,1,1,1,1,1,1,1,45,6,20922,0,0,24266,64,77,15112,15112,15112,26282,20686,5,189,1190,68,1189,37,1,1,1,4321,23,1215,363,24924,1,0,0,0,0,935,711,711,1136,1137,369,1027,1590,109,109,109,109,109,109,109,46,1266,6,6,1263,1,1,1,1,1,1,32,117,21,28,46,0,2,6,912,21617,21617,21617,769,411,25224,242,0,12,93,0,0,95,0,0,208,208,323,347,347,347,14,73,0,0,17,433,6,718,0,0,0,39,0,93,0,582,1873,1291,15,15,0,0,45,45,45,0,0,0,0,64,64,15,73,1234,0,0,0,0,0,0,0,112,4,1435,1435,365,1435,1435,10,282,1702,1702,1702,247,1702,242,0,0,0,0,124,132,0,0,108,1,28
Berlin,3562038,World Population Review,7,39,02/08/2020,247788,107,37,0,0,0,50,19,54,54,28,35,0,0,54,106,118,42,54,35,0,0,0,32,0,0,6,0,0,0,0,60,1,88,48,1,1,9651,9651,4391,1,0,0,1285,111,1,0,7609,7609,0,0,0,0,0,0,35,28,996,631,631,647,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,7,7,17,93,1,0,65,65,100,83,83,59,2658,7640,10141,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,58,7718,10,7807,0,0,714,15,801,92,714,665,4157,4162,2,16,54,16,4,1363,1366,1366,1366,1368,66,4,4,110,0,0,0,0,0,0,0,0,9,2,6151,0,0,9743,54,57,1919,1919,1919,12286,6027,0,244,1528,57,1529,31,0,0,0,2835,4,1536,143,10125,0,0,0,0,0,2004,4161,4166,1430,1430,446,1339,1743,59,59,59,59,59,59,59,271,1528,0,0,723,0,0,0,0,0,0,69,90,3,13,98,0,85,0,217,8800,8800,8801,2730,2590,12566,129,0,3,29,0,1,41,0,0,127,127,188,226,226,226,281,33,0,0,4,264,1,4144,0,0,0,194,0,29,0,122,837,715,7,7,1,1,270,270,270,0,0,0,0,30,30,4,33,1515,1,0,0,0,0,0,0,59,1,1680,1681,269,1681,1682,7,65,1909,1909,1909,171,1910,188,0,0,0,0,61,61,0,0,21,0,1
Bilbao,350000,Bilbao,8,9,02/08/2020,10884,1,11,0,0,0,8,2,9,9,8,7,0,0,9,5,8,7,9,7,0,0,0,11,0,0,2,0,0,0,0,2,0,5,2,0,0,318,318,201,0,0,0,146,1,0,0,332,332,0,0,0,0,0,0,4,4,55,26,27,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,72,0,0,4,4,6,5,5,4,51,329,464,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,249,2,251,0,0,29,1,31,3,29,29,2,2,0,11,11,11,2,153,155,155,155,155,5,2,2,6,0,0,0,0,0,0,0,0,0,1,182,0,0,316,3,12,63,63,63,534,174,0,20,166,9,166,0,0,0,0,122,2,168,3,323,0,0,0,0,0,168,2,2,163,163,52,154,175,12,12,12,12,12,12,12,7,169,0,0,28,0,0,0,0,0,0,0,13,1,0,0,0,1,1,5,220,220,220,38,35,356,31,0,0,1,0,0,4,0,0,8,8,11,11,11,11,4,2,0,0,0,2,0,2,0,0,0,2,0,1,0,4,32,28,1,1,0,0,7,7,7,0,0,0,0,2,2,1,2,167,0,0,0,0,0,0,0,12,1,169,169,14,169,169,0,5,186,186,186,9,186,12,0,0,0,0,13,17,0,0,0,0,0
