capec,name,domains_of_attack,mechanisms_of_attack,attack_likelihood,typical_severity,skills_required,consequences_confidentiality,consequences_integrity,consequences_availability,consequences_access_control,consequences_authorization,consequences_accountability,consequences_authentication,consequences_non_repudiation,linked_att&ck_tech_id,linked_att&ck_sub_tech_id,linked_att&ck_tactics
1,Accessing Functionality Not Properly Constrained by ACLs,"Hardware,Software",Subvert Access Control,High,High,Low,Gain Privileges,N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,T1574,T1574.010,"TA0003,TA0004,TA0005"
3,Using Leading 'Ghost' Character Sequences to Bypass Input Filters,Software,Manipulate Data Structures,Medium,Medium,Medium,Gain Privileges,Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
5,Blue Boxing,"Software,Communications","Abuse Existing Functionality",Medium,Very High,Low,Gain Privileges,N/A,Resource Consumption,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
6,Argument Injection,Software,Inject Unexpected Items,High,High,Medium,"Gain Privileges,Read Data",Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
7,Blind SQL Injection,Software,Inject Unexpected Items,High,High,Medium,"Read Data,Execute Unauthorized Commands","Modify Data,Execute Unauthorized Commands",Execute Unauthorized Commands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Buffer Overflow in an API Call,Software,Manipulate Data Structures,High,High,"Low,High","Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data","Unreliable Execution,Execute Unauthorized Commands",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,Buffer Overflow in Local Command-Line Utilities,Software,Manipulate Data Structures,High,High,"Low,High","Gain Privileges,Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data","Execute Unauthorized Commands,Unrealiable Execution",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
10,Buffer Overflow via Environment Variables,Software,Manipulate Data Structures,High,High,"Low,High","Execute Unauthorized Commands,Read Data,Gain Privileges","Execute Unauthorized Commands,Modify Data","Unreliable Execution,Execute Unauthorized Commands",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
12,Choosing Message Identifier,Communications,"Abuse Existing Functionality",High,High,Low,"Read Data,Gain Privileges",N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
13,Subverting Environment Variable Values,Software,Manipulate System Resources,High,Very High,"Low,High","Execute Unauthorized Commands,Bypass Protection Mechanism,Read Data",Execute Unauthorized Commands,"Execute Unauthorized Commands,Unreliable Execution",Bypass Protection Mechanism,Bypass Protection Mechanism,Hide Activities,N/A,N/A,"T1562,T1574","T1562.003,T1574.006,T1574.007","TA0005,TA0003,TA0004"
14,Client-side Injection-induced Buffer Overflow,Software,Manipulate Data Structures,Medium,High,"Low,High","Read Data,Execute Unauthorized Commands","Modify Data,Execute Unauthorized Commands","Resource Consumption,Execute Unauthorized Commands",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,Command Delimiters,Software,Inject Unexpected Items,High,High,Medium,"Execute Unauthorized Commands,Read Data",Execute Unauthorized Commands,Execute Unauthorized Commands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,Using Malicious Files,"Hardware,Software",Subvert Access Control,High,Very High,Low,"Execute Unauthorized Commands,Read Data,Gain Privileges","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,T1574,T1574.010,"TA0003,TA0004,TA0005"
19,Embedding Scripts within Scripts,Software,Inject Unexpected Items,High,High,"Low,Medium","Execute Unauthorized Commands,Gain Privileges",Execute Unauthorized Commands,Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,T1546,T1546.004,"TA0004,TA0003"
20,Encryption Brute Forcing,Software,Employ Probabilistic Techniques,Low,Low,Low,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,Exploitation of Trusted Identifiers,Software,Subvert Access Control,High,High,Low,"Gain Privileges,Read Data",Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,T1134,T1134.001,"TA0005,TA0004"
22,Exploiting Trust in Client,"Software,Communications",Subvert Access Control,High,High,Medium,"Execute Unauthorized Commands,Gain Privileges,Read Data",Execute Unauthorized Commands,Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
23,File Content Injection,Software,Inject Unexpected Items,High,Very High,Medium,Execute Unauthorized Commands,Execute Unauthorized Commands,Execute Unauthorized Commands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,Filter Failure through Buffer Overflow,Software,Manipulate Data Structures,High,High,"Low,High","Execute Unauthorized Commands,Bypass Protection Mechanism","Modify Data,Execute Unauthorized Commands","Execute Unauthorized Commands,Unreliable Execution",Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
26,Leveraging Race Conditions,"Hardware,Software",Manipulate Timing and State,High,High,Medium,"Gain Privileges,Read Data",Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
27,Leveraging Race Conditions via Symbolic Links,Software,Manipulate Timing and State,Medium,High,Medium,"Gain Privileges,Read Data",Modify Data,Resource Consumption,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
28,Fuzzing,Software,Employ Probabilistic Techniques,High,Medium,Low,"Read Data,Gain Privileges,Alter Execution Logic","Modify Data,Alter Execution Logic","Unreliable Execution,Alter Execution Logic",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
29,Leveraging Time-of-Check and Time-of-Use (TOCTOU) Race Conditions,Software,Manipulate Timing and State,High,High,Medium,"Gain Privileges,Alter Execution Logic,Read Data","Modify Data,Alter Execution Logic","Alter Execution Logic,Resource Consumption",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
31,Accessing/Intercepting/Modifying HTTP Cookies,Communications,"Collect and Analyze Information,Subvert Access Control",High,High,"Low,High","Read Data,Gain Privileges",Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
33,HTTP Request Smuggling,"Software,Communications",Abuse Existing Functionality,Medium,High,High,"Execute Unauthorized Commands,Gain Privileges","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
34,HTTP Response Splitting,"Software,Communications",Abuse Existing Functionality,Medium,High,High,"Execute Unauthorized Commands,Gain Privileges",Execute Unauthorized Commands,Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
35,Leverage Executable Code in Non-Executable Files,Software,Manipulate System Resources,High,Very High,Low,"Execute Unauthorized Commands,Gain Privileges","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
36,Using Unpublished Interfaces,Software,Abuse Existing Functionality,Medium,High,Low,"Read Data,Gain Privileges",N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
37,Retrieve Embedded Sensitive Data,"Software,Hardware,Physical Security",Collect and Analyze Information,High,Very High,Medium,"Read Data,Gain Privileges",Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,T1552,T1552.004,TA0006
39,Manipulating Opaque Client-based Data Tokens,Software,Subvert Access Control,High,Medium,"Medium,High",Gain Privileges,Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
42,MIME Conversion,Software,Manipulate Data Structures,High,High,"Low,High","Execute Unauthorized Commands,Gain Privileges","Execute Unauthorized Commands,Modify Data","Execute Unauthorized Commands,Unreliable Execution",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
43,Exploiting Multiple Input Interpretation Layers,Software,Manipulate Data Structures,Medium,High,Medium,"Gain Privileges,Read Data",Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
44,Overflow Binary Resource File,Software,"Manipulate Data Structures,Inject Unexpected Items",High,Very High,Medium,Execute Unauthorized Commands,"Execute Unauthorized Commands,Modify Data","Unreliable Execution,Execute Unauthorized Commands",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,Buffer Overflow via Symbolic Links,Software,Manipulate Data Structures,High,High,"Low,High","Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data","Unreliable Execution,Execute Unauthorized Commands",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46,Overflow Variables and Tags,Software,"Manipulate Data Structures,Inject Unexpected Items",High,High,"Low,High","Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data","Unreliable Execution,Execute Unauthorized Commands",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47,Buffer Overflow via Parameter Expansion,Software,"Manipulate Data Structures,Inject Unexpected Items",Medium,High,High,"Gain Privileges,Execute Unauthorized Commands,Read Data","Modify Data,Execute Unauthorized Commands","Unreliable Execution,Execute Unauthorized Commands",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
48,Passing Local Filenames to Functions That Expect a URL,Software,"Abuse Existing Functionality",High,High,Medium,Read Data,Modify Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,Password Recovery Exploitation,Software,"Abuse Existing Functionality",Medium,High,"Low,Medium",Gain Privileges,N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
51,Poison Web Service Registry,Software,Manipulate System Resources,High,Very High,Low,"Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52,Embedding NULL Bytes,Software,Manipulate System Resources,High,High,"Medium,High","Read Data,Gain Privileges,Execute Unauthorized Commands","Modify Data,Execute Unauthorized Commands",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
53,"Postfix, Null Terminate, and Backslash",Software,Manipulate Data Structures,High,High,Medium,"Read Data,Gain Privileges","Modify Data,Execute Unauthorized Commands",N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
54,Query System for Information,"Hardware,Software",Collect and Analyze Information,High,Low,Medium,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,Utilizing REST's Trust in the System Resource to Obtain Sensitive Data,"Software,Communications",Collect and Analyze Information,Medium,Very High,Low,Gain Privileges,N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
58,Restful Privilege Elevation,Software,Subvert Access Control,High,High,Low,Gain Privileges,Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
59,Session Credential Falsification through Prediction,Software,Subvert Access Control,High,High,"Low,Medium",Gain Privileges,N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
60,Reusing Session IDs (aka Session Replay),Software,Subvert Access Control,High,High,"Low,Medium",Gain Privileges,N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,"T1134,T1550","T1134.002,T1134.003,T1550.004","TA0005,TA0004,TA0008"
61,Session Fixation,Software,Subvert Access Control,Medium,High,Low,Gain Privileges,N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
62,Cross Site Request Forgery,Software,Subvert Access Control,High,Very High,Medium,"Gain Privileges,Read Data",Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
63,Cross-Site Scripting (XSS),Software,Inject Unexpected Items,High,Very High,"Low,High","Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64,Using Slashes and URL Encoding Combined to Bypass Validation Logic,Software,Manipulate Data Structures,High,High,"Low,Medium","Execute Unauthorized Commands,Read Data,Gain Privileges","Execute Unauthorized Commands,Modify Data","Resource Consumption,Execute Unauthorized Commands",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
65,Sniff Application Code,"Software,Communications",Collect and Analyze Information,Low,High,Medium,"Read Data,Gain Privileges",N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
66,SQL Injection,Software,Inject Unexpected Items,High,High,Low,"Read Data,Execute Unauthorized Commands,Gain Privileges","Modify Data,Execute Unauthorized Commands",N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
67,String Format Overflow in syslog(),Software,Manipulate Data Structures,High,Very High,N/A,"Execute Unauthorized Commands,Gain Privileges","Execute Unauthorized Commands,Modify Data","Execute Unauthorized Commands,Unreliable Execution",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
71,Using Unicode Encoding to Bypass Validation Logic,Software,Manipulate Data Structures,Medium,High,Medium,"Bypass Protection Mechanism,Execute Unauthorized Commands","Execute Unauthorized Commands,Modify Data","Execute Unauthorized Commands,Unreliable Execution",Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
72,URL Encoding,Software,Manipulate Data Structures,High,High,"Low,Medium","Read Data,Execute Unauthorized Commands,Gain Privileges","Execute Unauthorized Commands,Modify Data","Resource Consumption,Execute Unauthorized Commands",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
73,User-Controlled Filename,Software,Manipulate System Resources,High,High,"Low,Medium,High","Gain Privileges,Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data","Execute Unauthorized Commands,Alter Execution Logic",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
76,Manipulating Web Input to File System Calls,Software,Manipulate System Resources,High,Very High,Low,Gain Privileges,"Modify Data,Execute Unauthorized Commands",N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
77,Manipulating User-Controlled Variables,Software,Subvert Access Control,High,Very High,"Low,Medium","Execute Unauthorized Commands,Read Data,Gain Privileges","Modify Data,Execute Unauthorized Commands",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
78,Using Escaped Slashes in Alternate Encoding,Software,Manipulate Data Structures,High,High,"Low,Medium","Read Data,Execute Unauthorized Commands.Bypass Protection Mechanism","Execute Unauthorized Commands,Modify Data","Resource Consumption,Execute Unauthorized Commands",Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
79,Using Slashes in Alternate Encoding,Software,Manipulate Data Structures,High,High,"Low,Medium","Read Data,Execute Unauthorized Commands,Gain Privileges","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
80,Using UTF-8 Encoding to Bypass Validation Logic,Software,Manipulate Data Structures,High,High,"Low,Medium","Bypass Protection Mechanism,Execute Unauthorized Commands","Execute Unauthorized Commands,Modify Data","Execute Unauthorized Commands,Unreliable Execution",Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
81,Web Logs Tampering,"Hardware,Software",Manipulate System Resources,Medium,High,Low,N/A,Modify Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83,XPath Injection,Software,Inject Unexpected Items,High,High,Low,"Gain Privileges,Read Data",N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
84,XQuery Injection,Software,Inject Unexpected Items,High,Very High,Low,"Read Data,Gain Privileges,Execute Unauthorized Commands","Modify Data,Execute Unauthorized Commands",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
85,AJAX Footprinting,Software,Collect and Analyze Information,High,Low,Medium,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
87,Forceful Browsing,Software,Subvert Access Control,High,High,Low,"Read Data,Bypass Protection Mechanism",N/A,N/A,Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
88,OS Command Injection,Software,Inject Unexpected Items,High,High,High,"Execute Unauthorized Commands,Gain Privileges,Bypass Protection Mechanism,Read Data",Execute Unauthorized Commands,Execute Unauthorized Commands,Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
92,Forced Integer Overflow,Software,Manipulate Data Structures,High,High,"Low,High","Gain Privileges,Execute Unauthorized Commands,Read Data","Modify Data,Execute Unauthorized Commands","Execute Unauthorized Commands,Unreliable Execution",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
