capec,name,domains_of_attack,mechanisms_of_attack,attack_likelihood,typical_severity,skills_required,consequences_confidentiality,consequences_integrity,consequences_availability,consequences_access_control,consequences_authorization,consequences_accountability,consequences_authentication,consequences_non_repudiation,linked_att&ck_tech_id,linked_att&ck_sub_tech_id,linked_att&ck_tactics
313,Passive OS Fingerprinting,Software,Collect and Analyze Information,High,Low,N/A,"Read Data,Hide Activities",N/A,N/A,Hide Activities,Hide Activities,N/A,N/A,N/A,N/A,N/A,N/A
317,IP ID Sequencing Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
318,IP 'ID' Echoed Byte-Order Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
319,IP (DF) 'Don't Fragment Bit' Echoing Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
320,TCP Timestamp Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism",N/A,N/A,Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
321,TCP Sequence Number Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
322,TCP (ISN) Greatest Common Divisor Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
323,TCP (ISN) Counter Rate Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
324,TCP (ISN) Sequence Predictability Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
325,TCP Congestion Control Flag (ECN) Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
326,TCP Initial Window Size Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
327,TCP Options Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
328,TCP 'RST' Flag Checksum Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
329,ICMP Error Message Quoting Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
330,ICMP Error Message Echoing Integrity Probe,Software,Collect and Analyze Information,Medium,Low,N/A,"Read Data,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A
383,Harvesting Information via API Event Monitoring,"Software,Social Engineering","Engage in Deceptive Interactions,Collect and Analyze Information",N/A,Low,N/A,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
384,Application API Message Manipulation via Man-in-the-Middle,"Software,Communications",Subvert Access Control,N/A,Low,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
385,Transaction or Event Tampering via Application API Manipulation,"Software,Communications",Subvert Access Control,N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
386,Application API Navigation Remapping,"Software,Communications",Subvert Access Control,N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
387,Navigation Remapping To Propagate Malicious Content,"Software,Communications",Subvert Access Control,N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
388,Application API Button Hijacking,"Software,Communications",Subvert Access Control,N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
402,Bypassing ATA Password Security,"Hardware,Supply Chain,Physical Security",Manipulate System Resources,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
441,Malicious Logic Insertion,"Software,Hardware,Supply Chain",Manipulate System Resources,Medium,High,N/A,N/A,N/A,N/A,N/A,Execute Unauthorized Commands,N/A,N/A,N/A,N/A,N/A,N/A
459,Creating a Rogue Certification Authority Certificate,Software,Engage in Deceptive Interactions,Medium,Very High,"High,High,Medium",N/A,N/A,N/A,Gain Privileges,N/A,N/A,Gain Privileges,N/A,T1553,T1553.004,TA0005
462,Cross-Domain Search Timing,"Hardware,Software",Collect and Analyze Information,N/A,Medium,Low,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
463,Padding Oracle Crypto Attack,Communications,Collect and Analyze Information,N/A,High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
467,Cross Site Identification,Software,Subvert Access Control,N/A,Low,"High,Medium",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
469,HTTP DoS,Software,Abuse Existing Functionality,N/A,Low,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1499,"T1499.001,T1499.004",TA0040
470,Expanding Control over the Operating System from the Database,Software,Inject Unexpected Items,N/A,Very High,High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
472,Browser Fingerprinting,Software,Collect and Analyze Information,N/A,Low,"High,High",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
473,Signature Spoof,Software,Engage in Deceptive Interactions,N/A,N/A,High,N/A,N/A,N/A,Gain Privileges,N/A,N/A,Gain Privileges,N/A,N/A,N/A,N/A
474,Signature Spoofing by Key Theft,Software,Engage in Deceptive Interactions,Medium,High,"Low,High",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
475,Signature Spoofing by Improper Validation,Software,Engage in Deceptive Interactions,Low,High,"High,High",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
477,Signature Spoofing by Mixing Signed and Unsigned Content,Software,Engage in Deceptive Interactions,Low,High,"High,High",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
478,Modification of Windows Service Configuration,Software,Manipulate System Resources,Low,High,N/A,N/A,Execute Unauthorized Commands,N/A,N/A,N/A,N/A,N/A,N/A,"T1574,T1543","T1574.011,T1543.003","TA0003,TA0004,TA0005"
479,Malicious Root Certificate,Software,Engage in Deceptive Interactions,Low,Low,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1553,T1553.004,TA0005
482,TCP Flood,"Software,Communications",Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1499,"T1499.001,T1499.004",TA0040
485,Signature Spoofing by Key Recreation,Software,Engage in Deceptive Interactions,Low,High,"High,High,High",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
486,UDP Flood,"Software,Communications",Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1498,T1498.001,TA0040
487,ICMP Flood,"Software,Communications",Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
488,HTTP Flood,"Software,Communications",Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1499,T1499.002,TA0040
489,SSL Flood,"Software,Communications",Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1499,T1499.002,TA0040
490,Amplification,Software,Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1498,T1498.002,TA0040
491,XML Quadratic Expansion,Software,Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
492,Regular Expression Exponential Blowup,Software,Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
493,SOAP Array Blowup,Software,Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
494,TCP Fragmentation,"Software,Communications",Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
495,UDP Fragmentation,"Software,Communications",Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
496,ICMP Fragmentation,"Software,Communications",Abuse Existing Functionality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
497,File Discovery,Software,Collect and Analyze Information,High,Very Low,N/A,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1083,N/A,TA0007
502,Intent Spoof,Software,Engage in Deceptive Interactions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
503,WebView Exposure,Software,Subvert Access Control,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
508,Shoulder Surfing,Physical Security,Collect and Analyze Information,High,High,Low,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
509,Kerberoasting,Software,Subvert Access Control,N/A,High,Medium,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1558,T1558.003,TA0006
528,XML Flood,Software,Abuse Existing Functionality,Low,Medium,Low,N/A,N/A,Resource Consumption,N/A,N/A,N/A,N/A,N/A,T1499,T1499.002,TA0040
536,Data Injected During Configuration,"Software,Supply Chain",Manipulate System Resources,Low,High,High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
540,Overread Buffers,Software,Manipulate Data Structures,Low,High,N/A,Read Data,N/A,Unreliable Execution,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
546,Probe Application Memory,"Software,Hardware",Collect and Analyze Information,Low,Medium,Low,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
549,Local Execution of Code,Software,Inject Unexpected Items,Medium,High,N/A,"Execute Unauthorized Commands,Other","Execute Unauthorized Commands,Other","Execute Unauthorized Commands,Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
550,Install New Service,Software,Inject Unexpected Items,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"T1543,T1569","T1543.002,T1543.003,T1543.004,T1569.001,T1569.002","TA0003,TA0004,TA0002"
551,Modify Existing Service,Software,Inject Unexpected Items,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"T1543,T1569","T1543.002,T1543.003,T1543.004,T1569.001,T1569.002","TA0003,TA0004,TA0002"
552,Install Rootkit,Software,Inject Unexpected Items,Medium,High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"T1014,T1542,T1547","T1542.003,T1547.006","TA0005,TA0003,TA0004"
555,Remote Services with Stolen Credentials,Software,Subvert Access Control,N/A,Very High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"T1114,T1021,T1133",T1114.002,"TA0009,TA0008,TA0003,TA0001"
556,Replace File Extension Handlers,Software,Inject Unexpected Items,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1546,T1546.001,"TA0004,TA0003"
558,Replace Trusted Executable,Software,Inject Unexpected Items,Low,High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1546,T1546.008,"TA0004,TA0003"
560,Use of Known Domain Credentials,"Software,Hardware",Subvert Access Control,High,High,Low,"Gain Privileges,Read Data",Modify Data,N/A,Gain Privileges,"Gain Privileges,Read Data",N/A,Gain Privileges,N/A,"T1078,T1199","T1078.001,T1078.002,T1078.003","TA0005,TA0003,TA0004,TA0001"
561,Windows Admin Shares with Stolen Credentials,Software,Subvert Access Control,N/A,N/A,Low,"Gain Privileges,Read Data",Modify Data,N/A,Gain Privileges,"Gain Privileges,Read Data",N/A,Gain Privileges,N/A,T1021,T1021.002,TA0008
562,Modify Shared File,"Software,Hardware",Subvert Access Control,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1080,N/A,TA0008
563,Add Malicious File to Shared Webroot,"Software,Hardware",Subvert Access Control,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
564,Run Software at Logon,Software,Inject Unexpected Items,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"T1037,T1543,T1547","T1037.001,T1037.002,T1037.003,T1543.001","TA0003,TA0004"
573,Process Footprinting,Software,Collect and Analyze Information,Low,Low,N/A,"Other,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,T1057,N/A,TA0007
574,Services Footprinting,Software,Collect and Analyze Information,Low,Low,N/A,"Other,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,T1007,N/A,TA0007
575,Account Footprinting,Software,Collect and Analyze Information,Low,Low,N/A,"Other,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,T1087,N/A,TA0007
576,Group Permission Footprinting,Software,Collect and Analyze Information,Low,Low,N/A,"Other,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,T1069,Discovery,TA0007
577,Owner Footprinting,Software,Collect and Analyze Information,Low,Low,N/A,"Other,Bypass Protection Mechanism,Hide Activities",N/A,N/A,"Bypass Protection Mechanism,Hide Activities","Bypass Protection Mechanism,Hide Activities",N/A,N/A,N/A,T1033,N/A,TA0007
578,Disable Security Software,Software,Manipulate System Resources,Medium,Medium,N/A,N/A,Hide Activities,N/A,N/A,N/A,N/A,N/A,N/A,T1562,T1562.001,TA0005
588,DOM-Based XSS,Software,Inject Unexpected Items,High,Very High,Medium,"Read Data,Gain Privileges,Execute Unauthorized Commands","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
591,Reflected XSS,Software,Inject Unexpected Items,High,Very High,Medium,"Read Data,Gain Privileges,Execute Unauthorized Commands","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
592,Stored XSS,Software,Inject Unexpected Items,High,Very High,Medium,"Read Data,Gain Privileges,Execute Unauthorized Commands","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
593,Session Hijacking,Software,Subvert Access Control,High,Very High,Low,Gain Privileges,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,T1550,T1550.001,"TA0005,TA0008"
600,Credential Stuffing,Software,Subvert Access Control,High,High,Low,"Gain Privileges,Read Data",Modify Data,N/A,Gain Privileges,Read Data,N/A,Gain Privileges,N/A,T1110,T1110.004,TA0006
608,Cryptanalysis of Cellular Encryption,Communications,Collect and Analyze Information,N/A,High,Medium,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
609,Cellular Traffic Intercept,Communications,Collect and Analyze Information,N/A,Low,Medium,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
614,Rooting SIM Cards,Software,Manipulate System Resources,N/A,High,Medium,Execute Unauthorized Commands,Execute Unauthorized Commands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
616,Establish Rogue Location,"Software,Hardware,Communications,Social Engineering",Engage in Deceptive Interactions,Medium,Medium,Low,Other,Other,N/A,N/A,N/A,N/A,N/A,N/A,T1204,T1204.002,TA0002
633,Token Impersonation,Software,Engage in Deceptive Interactions,N/A,Medium,N/A,N/A,"Alter Execution Logic,Gain Privileges,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A,T1134,"T1134.001,T1134.003","TA0005,TA0004"
639,Probe System Files,Software,Collect and Analyze Information,N/A,Medium,N/A,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"T1552,T1039",T1552.001,"TA0006,TA0009"
641,DLL Side-Loading,Software,Engage in Deceptive Interactions,Low,High,High,N/A,"Execute Unauthorized Commands,Bypass Protection Mechanism",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
642,Replace Binaries,"Software,Hardware",Subvert Access Control,N/A,High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1574,"T1574.005,T1574.010","TA0003,TA0004,TA0005"
643,Identify Shared Files/Directories on System,Software,Collect and Analyze Information,Medium,Medium,Low,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1135,N/A,TA0007
644,Use of Captured Hashes (Pass The Hash),Software,Subvert Access Control,Medium,High,Low,"Gain Privileges,Read Data",Modify Data,N/A,Gain Privileges,Read Data,N/A,Gain Privileges,N/A,T1550,T1550.002,"TA0005,TA0008"
645,Use of Captured Tickets (Pass The Ticket),Software,Subvert Access Control,Low,High,"Low,High",N/A,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A,T1550,T1550.003,"TA0005,TA0008"
646,Peripheral Footprinting,Software,Collect and Analyze Information,Low,Medium,"Medium,Medium",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1120,N/A,TA0007
647,Collect Data from Registries,Software,Collect and Analyze Information,Medium,Medium,Low,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A