Port 83,83,287305,0,3,0,0,0,156,102,184,184,48,82,0,0,184,0,96,98,184,82,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8247,8248,130,0,0,0,4352,0,0,0,7245,7245,0,0,0,0,0,0,308,146,4140,3190,3190,3229,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,3,3,3,3,43,582,0,0,0,0,0,0,0,0,1287,7250,11334,186,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,10,118,7622,57,7754,0,0,3364,39,3440,90,3364,3265,21,21,0,1,3,1,0,4490,4505,4507,4507,4507,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2950,0,0,8261,97,3,522,522,522,12065,2810,0,329,4639,145,4640,0,0,0,0,85,0,4669,135,8587,0,0,0,0,0,9126,21,21,4460,4460,932,4233,4840,3,3,3,3,3,3,3,15,4714,0,0,3413,0,0,0,0,0,0,0,198,1,3,89,0,0,1,346,3576,3576,3576,584,449,9040,0,0,0,0,0,0,8,0,0,249,248,464,489,488,488,27,5,0,0,1,3,0,21,0,0,0,1,0,0,0,309,3650,3341,0,0,0,0,15,15,15,0,0,0,0,5,5,0,5,4588,0,0,0,0,0,0,0,3,0,4727,4768,444,4769,4769,3,0,5044,5044,5044,323,5044,311,0,0,0,0,3,0,0,0,0,0,0
Port 84,84,262943,0,5,0,0,0,98,64,112,112,29,48,0,0,112,0,78,64,112,48,0,0,1,5,1,1,1,1,1,1,1,0,0,0,0,0,0,8548,8548,121,0,0,0,2965,0,0,0,5989,5989,0,0,0,0,0,0,181,87,5893,5163,5161,5176,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,27,300,1,0,0,0,0,0,0,0,994,5992,11412,112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,6,60,8208,26,8267,0,0,5267,15,5308,44,5268,5221,22,22,1,5,6,5,0,3253,3262,3262,3262,3262,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1975,0,0,8578,65,5,302,302,302,11825,1901,0,280,3422,79,3422,0,0,0,0,92,0,3436,65,8754,0,0,0,0,0,4519,22,22,3301,3301,795,3182,3519,7,7,7,7,7,7,7,1,3454,0,0,5303,0,0,0,0,0,0,0,314,2,4,46,0,0,2,151,2343,2343,2343,343,277,9040,0,0,0,0,0,0,9,0,0,162,161,257,265,264,263,23,9,0,0,0,10,3,25,0,0,0,1,0,0,0,139,5366,5227,0,0,0,0,1,1,1,0,0,0,0,7,7,2,7,3385,0,0,0,0,0,0,0,7,0,3467,3486,269,3486,3487,3,0,3865,3865,3865,217,3866,186,0,0,0,0,7,0,0,0,0,0,0
Port 85,85,45114,0,0,0,0,0,13,5,17,17,4,12,0,0,17,0,16,13,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,1248,89,0,0,0,903,0,0,0,1360,1360,0,0,0,0,0,0,35,15,251,117,116,120,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,5,5,5,61,0,0,0,0,0,0,0,0,301,1364,1590,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,12,1169,6,1179,0,0,140,4,152,15,140,130,3,3,0,0,0,0,0,916,916,916,916,916,0,0,0,0,0,0,0,0,0,0,0,0,1,0,590,0,0,1252,4,0,76,76,76,1683,566,0,33,926,19,926,0,0,0,0,71,0,928,14,1320,0,0,0,0,0,919,3,3,922,922,84,897,970,0,0,0,0,0,0,0,4,937,0,0,146,0,0,0,0,0,0,0,26,1,5,26,0,0,1,32,674,674,674,68,54,1377,0,0,0,0,0,0,7,0,0,34,34,45,51,51,51,4,7,0,0,1,1,0,3,0,0,0,0,0,0,0,30,168,138,0,0,0,0,4,4,4,0,0,0,0,7,7,2,7,890,0,0,0,0,0,0,0,0,0,920,928,50,928,928,3,0,958,958,958,36,958,38,0,0,0,0,0,0,0,0,0,0,0
Port 86,86,6877,0,0,0,0,0,10,8,10,10,3,2,0,0,10,0,2,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,17,10,75,57,57,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,13,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,65,1,69,2,65,60,0,0,0,0,0,0,0,222,224,224,224,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,19,231,6,231,0,0,0,0,146,0,233,0,0,0,0,0,0,0,0,0,0,225,225,53,212,247,1,1,1,1,1,1,1,1,236,0,0,68,0,0,0,0,0,0,0,9,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,18,26,26,26,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,77,65,0,0,0,0,1,1,1,0,0,0,0,2,2,0,2,220,0,0,0,0,0,0,0,1,0,230,231,27,231,231,0,0,258,258,258,21,258,22,0,0,0,0,1,0,0,0,0,0,0
Port 88,88,701304,0,13,2,0,0,337,199,410,410,145,211,0,0,410,0,1568,245,410,211,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,15676,15676,1602,0,0,0,14461,0,0,0,17342,17342,0,0,0,0,0,0,1464,388,4037,2179,2171,2222,109,0,0,0,0,0,0,0,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,5,5,115,2571,0,0,0,0,0,0,0,0,2474,17358,20954,410,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,28,251,14383,26,14716,0,0,2918,50,3029,147,2917,2269,60,61,0,13,18,13,0,14681,14703,14703,14703,14703,0,0,0,0,0,0,0,0,0,0,0,0,6,16,8467,0,0,15709,166,16,1050,1050,1050,22386,8198,0,646,14955,319,14957,3,0,0,0,1444,0,15011,237,16748,0,0,0,0,0,36059,60,61,14732,14732,2160,14316,15679,18,18,18,18,18,18,18,11,15071,0,0,2958,0,0,0,0,0,2,0,396,0,5,602,0,0,0,1131,9443,9445,9445,913,674,17435,0,0,0,0,0,0,14,0,0,475,475,976,1010,1010,1010,495,9,0,0,1,48,5,66,0,0,0,3,0,0,0,1025,3964,2939,0,0,0,0,11,11,11,0,0,0,0,8,8,3,9,14859,0,0,0,0,0,0,0,18,0,15174,15263,873,15264,15264,14,0,15723,15723,15723,633,15724,618,0,0,0,0,19,0,0,0,0,0,0
Port 98,98,3400,0,0,0,0,0,4,3,4,4,1,1,0,0,4,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,8,5,46,15,15,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,18,1,19,1,18,18,0,0,0,0,0,0,0,125,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,8,128,3,128,0,0,0,0,15,0,128,0,0,0,0,0,0,0,0,0,0,122,122,18,119,131,0,0,0,0,0,0,0,0,129,0,0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,12,14,14,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,117,0,0,0,0,0,0,0,0,0,121,122,14,122,122,0,0,134,134,134,11,134,7,0,0,0,0,0,0,0,0,0,0,0
Port 102,102,52878,0,0,0,0,0,13,10,15,15,3,5,0,0,15,0,0,5,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,2062,0,0,0,0,0,0,0,0,0,0,0,40,27,155,80,79,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,106,10,121,16,106,96,0,0,0,0,0,0,0,2088,2089,2089,2089,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,14,2095,7,2095,1,0,0,0,1365,0,2097,0,0,0,0,0,0,0,0,0,0,2091,2091,52,2081,2112,0,0,0,0,0,0,0,4,2100,0,0,118,0,0,0,0,0,0,0,10,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,17,23,24,24,24,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,37,146,109,0,0,0,0,4,4,4,0,0,0,0,2,2,0,2,2039,0,0,0,0,0,0,0,0,0,2046,2071,20,2071,2071,1,0,2181,2181,2181,22,2181,15,0,0,0,0,0,0,0,0,0,0,0
Port 113,113,50224,0,0,0,0,0,2,2,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656,1656,74,0,0,0,1087,0,0,14,1668,1668,0,0,0,0,0,0,9,7,31,18,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,565,1670,1742,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,4,1616,0,0,22,0,22,0,22,22,7,7,0,0,0,0,0,1095,1095,1095,1095,1095,0,0,0,0,0,0,0,0,0,0,0,0,2,0,672,0,0,1659,0,0,43,43,43,1795,667,0,1,1095,1,1095,0,0,0,0,54,0,1095,18,1693,0,0,0,0,0,206,7,7,1095,1095,6,1094,1095,0,0,0,0,0,0,0,2,1098,0,0,22,0,0,0,0,0,0,0,1,0,0,9,0,0,0,18,726,726,726,51,33,1727,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,22,22,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1064,0,0,0,0,0,0,0,0,0,1064,1079,1,1081,1081,0,0,1082,1082,1083,1,1083,1,0,0,0,0,0,0,0,0,0,0,0
Port 119,119,28312,0,0,0,0,0,12,8,12,12,5,4,0,0,12,0,2,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,33,25,107,63,62,73,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,84,11,95,14,84,77,0,0,0,0,0,0,0,1148,1149,1149,1149,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,15,1155,7,1155,0,0,0,0,55,0,1157,0,0,0,0,0,0,0,0,0,0,1149,1149,40,1140,1167,0,0,0,0,0,0,0,1,1159,0,0,93,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,19,20,20,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,104,84,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1127,0,0,0,0,0,0,0,0,0,1131,1151,18,1152,1153,1,0,1237,1237,1237,18,1237,13,0,0,0,0,0,0,0,0,0,0,0
Port 143,143,39423,0,0,0,0,0,17,13,19,19,5,6,0,0,19,0,2,6,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,509,509,202,0,0,0,1198,0,0,0,578,578,0,0,0,0,0,0,42,29,132,76,75,89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0,0,0,0,0,77,580,694,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,458,3,460,0,0,100,13,112,18,100,93,30,30,0,0,0,0,0,1213,1214,1214,1214,1214,0,0,0,0,0,0,0,0,0,0,0,0,6,1,205,0,0,510,7,0,50,50,50,750,189,0,18,1222,9,1222,1,0,0,0,139,0,1224,15,542,0,0,0,0,0,162,30,30,1215,1215,49,1203,1236,0,0,0,0,0,0,0,4,1226,0,0,110,0,0,0,0,0,0,0,13,0,0,8,0,1,0,24,261,261,261,52,37,579,0,0,0,0,0,78,0,0,0,17,17,25,26,26,26,3,0,0,0,0,29,0,30,0,0,0,1,0,0,0,31,125,94,0,0,0,77,4,4,4,0,0,0,0,0,0,0,0,1201,77,0,0,0,0,0,0,0,0,1206,1218,21,1218,1218,1,0,1302,1302,1302,23,1302,15,0,0,0,0,0,0,0,0,0,0,0
Port 222,222,8020,0,0,0,0,0,3,1,4,4,2,3,0,0,4,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3759,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,4,22,9,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,14,1,13,10,0,0,0,0,0,0,0,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,26,4,26,34,0,0,0,2660,0,27,0,0,0,0,0,0,0,0,0,0,22,22,13,16,26,0,0,0,0,0,0,0,167,27,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,17,15,0,0,0,0,160,160,160,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,27,27,10,27,27,0,0,39,39,39,7,39,7,0,0,0,0,0,0,0,0,0,0,0
Port 225,225,3564,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,0,76,4,0,0,0,0,0,0,0,0,0,0,6,5,18,12,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,14,1,13,13,0,0,0,0,0,0,0,76,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,78,1,78,0,0,0,0,654,0,78,0,0,0,0,0,0,0,0,0,0,74,74,6,73,77,0,0,0,0,0,0,0,7,78,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,13,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,77,77,3,77,77,0,0,88,88,88,3,88,1,0,0,0,0,0,0,0,0,0,0,0
Port 443,443,49298830,5,16514,812,0,92,33893,15957,48667,48668,14911,32710,0,0,48667,0,20590,39924,48677,32717,0,0,570,13990,570,570,3499,570,570,570,570,0,604,0,0,0,0,1674249,1674279,6034,604,0,0,728920,5,231,0,1038246,1038251,93,93,93,93,93,3,1832,1104,58838,47228,47115,47545,11510,119,119,118,118,118,118,118,62,62,62,104,104,131,744,636,636,636,635,634,634,634,196,196,255,3054,325,291,291,0,3048,3048,3244,3048,12900,30906,537,0,0,0,0,0,0,0,168964,1038656,1732536,48765,1198,0,0,0,0,0,0,0,280,280,280,280,280,280,280,51299,1895,71434,1254875,2453,1305927,0,0,48400,384,54367,6307,48317,47386,8718,9062,3867,10161,22119,10162,0,763083,767263,767272,767288,767299,0,0,0,0,0,0,0,0,0,0,0,0,752,1476,922815,0,0,1675963,17230,22921,396922,396923,396924,2187088,890926,709,112779,808165,50482,808212,60,0,0,0,3959,0,823399,60360,1783538,0,0,0,0,0,752984,8739,9083,795236,795248,201491,702209,938806,28542,28543,28543,28545,28545,28545,28545,444,838684,93,93,47929,0,0,0,0,0,297,2,68061,1784,4680,18178,0,3,954,67129,1163842,1163850,1163846,235944,175551,1959724,0,0,0,0,0,0,15272,0,0,77159,77143,111044,122541,122534,122520,13253,10691,434,0,1252,7183,413,9446,0,0,0,1,34,0,0,8103,54844,46735,4718,4718,378,0,439,439,439,0,0,0,0,9154,9155,1410,10438,826301,0,0,0,0,0,0,0,28558,1088,905347,908904,184633,908926,908934,2491,0,1046617,1046630,1046660,88422,1046683,148336,0,0,0,0,31235,0,4,4,0,228,0
Port 444,444,93517,0,40,4,0,0,100,36,105,105,66,69,0,0,105,0,14,80,105,69,0,0,2,38,2,2,10,2,2,2,2,0,1,0,0,0,0,0,0,785,1,0,0,3340,0,1,0,0,0,0,0,0,0,0,0,56,34,364,184,184,193,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,0,0,0,5,0,0,0,0,5,5,5,5,60,0,3,0,0,0,0,0,0,0,0,0,0,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,85,0,0,0,0,0,212,10,430,220,211,196,0,0,9,23,55,23,0,3410,3419,3419,3419,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,43,54,0,0,0,0,0,1,189,3485,96,3484,2,0,0,0,597,0,3503,0,0,0,0,0,0,0,0,0,0,3378,3378,439,3246,3651,67,67,67,67,67,67,67,32,3532,0,0,228,0,0,0,0,0,0,0,114,0,5,0,0,1,0,211,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,140,140,196,206,206,207,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,231,449,218,37,37,0,0,31,31,31,0,0,0,0,7,7,0,6,3474,0,0,0,0,0,0,0,65,1,3636,3673,329,3674,3674,4,0,4259,4258,4258,179,4257,251,0,0,0,0,69,0,0,0,0,1,0
Port 445,445,144234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,12,10,363,156,156,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,162,0,231,68,162,158,0,0,1,1,1,1,0,37,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,39,1,39,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,38,38,4,37,56,2,2,2,2,2,2,2,0,39,0,0,163,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,236,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2,0,56,56,19,56,56,0,0,62,62,62,2,62,18,0,0,0,0,2,130172,0,0,0,0,10556
Port 465,465,280168,24603,0,0,14,0,13,9,16,16,4,7,0,0,16,0,3,7,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,1204,25859,0,0,0,0,0,0,0,0,0,0,41,27,127,74,73,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,93,10,105,15,93,86,0,0,0,0,0,0,0,1222,1223,1223,1223,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,18,1230,10,1230,1,0,0,0,57,0,1231,0,0,0,0,0,0,0,0,0,0,1222,1222,46,1208,1242,0,0,0,0,0,0,0,10,1233,0,0,103,0,0,0,0,0,0,18623,14,0,0,0,0,52,0,15,0,0,0,0,0,0,0,0,0,90173,0,0,0,0,0,18,18,24,25,25,25,0,0,0,0,0,0,0,0,0,0,0,1,0,90482,0,29,121,92,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,1216,1234,20,1234,1234,1,0,1322,1322,1323,23,1323,16,0,0,0,0,0,0,0,0,0,0,0
