,country,income_group,population_2020,overall_performance,factor_knowledge,factor_technology,factor_future_readiness,subfact_know_talent,subfact_know_training_education,subfact_know_scientific_concentration,subfact_tech_regulatory_framework,subfact_tech_capital,subfact_tech_technological_framework,subfact_fr_adaptive_attitudes,subfact_fr_business_agility,subfact_fr_it_integration,gini_value,totalcount,avg,vulnper1k,exposureperperson
122,Liberia,Low,5058000.0,,,,,,,,,,,,,,35.3,666,7.448048048048049,0.13167259786476868,0.0009807038355081061
123,Libya,Upper middle,6871000.0,,,,,,,,,,,,,,,49882,7.325929116662991,7.259787512734682,0.05321774123126181
124,Liechtenstein,High,38000.0,,,,,,,,,,,,,,,7367,7.636959175369594,193.8684210526316,1.4817710526315793
125,Lithuania,High,2722000.0,29.0,25.0,29.0,30.0,23.0,16.0,40.0,27.0,42.0,18.0,47.0,18.0,32.0,37.4,382533,8.008226873599813,140.53379867744306,1.1254441954445258
126,Luxembourg,High,626000.0,28.0,35.0,17.0,27.0,39.0,23.0,41.0,8.0,15.0,35.0,48.0,34.0,16.0,33.8,114164,7.839950422199642,182.370607028754,1.4297765175718848
127,Macao,High,649000.0,,,,,,,,,,,,,,,10772,7.6152896398069005,16.597842835130972,0.12639738058551608
128,Madagascar,Low,27691000.0,,,,,,,,,,,,,,42.6,29150,7.48004662643993,1.0526885991838504,0.00787902206493084
129,Malawi,Low,19130000.0,,,,,,,,,,,,,,44.7,2894,7.805943331029716,0.1512807109252483,0.0011808886565603763
130,Malaysia,Upper middle,32366000.0,26.0,19.0,20.0,30.0,30.0,8.0,26.0,35.0,18.0,15.0,30.0,30.0,55.0,41.0,269963,7.660070231586432,8.340944200704444,0.06389245504541802
131,Maldives,Upper middle,541000.0,,,,,,,,,,,,,,,239849,7.289000283465616,443.3438077634011,3.2320585951940846
132,Mali,Low,20251000.0,,,,,,,,,,,,,,,58567,7.104209915323679,2.892054713347489,0.020548921040936242
133,Malta,High,442000.0,,,,,,,,,,,,,,33.0,98799,7.4942811747323255,223.52714932126696,1.6754296380090499
134,Marshall Islands,Upper middle,59000.0,,,,,,,,,,,,,,29.4,4428,7.475570106118763,75.05084745762711,0.5611745762711865
135,Martinique,,375000.0,,,,,,,,,,,,,,,40281,7.445340813185718,107.416,0.7998479999999996
136,Mauritania,Lower middle,4650000.0,,,,,,,,,,,,,,32.6,2758,7.349601160261059,0.5931182795698925,0.004359182795698925
137,Mauritius,High,1272000.0,,,,,,,,,,,,,,38.5,228508,7.846275234014993,179.64465408805032,1.4095599056603774
138,Mayotte,,273000.0,,,,,,,,,,,,,,,10031,7.690213274865457,36.743589743589745,0.2826505494505494
139,Mexico,Upper middle,128933000.0,54.0,52.0,56.0,62.0,45.0,57.0,43.0,50.0,53.0,54.0,52.0,50.0,53.0,48.3,332152,7.789665273730106,2.5761597108575773,0.02006742183924986
140,Monaco,High,39000.0,,,,,,,,,,,,,,,5481,7.320197044334972,140.53846153846155,1.0287692307692304
141,Mongolia,Lower middle,3278000.0,62.0,58.0,60.0,59.0,60.0,41.0,61.0,58.0,60.0,60.0,40.0,61.0,61.0,32.3,13885,7.598638818869282,4.23581452104942,0.03218642464917632
142,Montenegro,Upper middle,628000.0,,,,,,,,,,,,,,31.9,21056,7.433195670749072,33.52866242038217,0.24934347133757953
143,Montserrat,,5000.0,,,,,,,,,,,,,,,830,7.276173285198556,166.0,1.2093
144,Morocco,Lower middle,36911000.0,,,,,,,,,,,,,,39.5,37725,7.770746964957853,1.0220530465172983,0.007942326135840264
145,Mozambique,Low,31255000.0,,,,,,,,,,,,,,54.0,19153,7.272481085311768,0.6127979523276276,0.004459353703407456
146,Myanmar,Lower middle,54410000.0,,,,,,,,,,,,,,38.1,19070,7.627480075503353,0.35048704282301046,0.0026736133063775033
147,Namibia,,2541000.0,,,,,,,,,,,,,,59.1,4880,7.793627049180335,1.9205037386855568,0.014967689885871719
148,Nauru,High,11000.0,,,,,,,,,,,,,,,2306,6.947267996530785,209.63636363636363,1.4563999999999993
149,Nepal,Lower middle,29137000.0,,,,,,,,,,,,,,32.8,29881,7.827257211699348,1.0255345437073138,0.008027391289425813
150,Netherlands,High,17135000.0,7.0,14.0,8.0,4.0,3.0,29.0,16.0,11.0,2.0,12.0,7.0,8.0,6.0,28.2,2590159,7.696677732911381,151.1618908666472,1.1634443594981039
151,New Caledonia,High,285000.0,,,,,,,,,,,,,,,13013,7.581851709565884,45.65964912280702,0.346237894736842
152,New Zealand,High,4822000.0,22.0,28.0,18.0,21.0,17.0,37.0,34.0,21.0,24.0,21.0,54.0,47.0,58.0,,121700,7.922513824638675,25.23849025300705,0.19995721692243895
153,Nicaragua,Lower middle,6625000.0,,,,,,,,,,,,,,46.2,6952,7.680483244642599,1.0493584905660378,0.008060739622641509
154,Niger,Low,24207000.0,,,,,,,,,,,,,,34.3,3226,7.2954756740006195,0.1332672367497005,0.0009725492626099888
155,Nigeria,Lower middle,206140000.0,,,,,,,,,,,,,,43.0,306170,7.336541651428873,1.4852527408557292,0.010899679344135058
156,Niue,,2000.0,,,,,,,,,,,,,,,293914,7.63484988641156,146957.0,1122.4909000000005
157,Norfolk Island,,1748.0,,,,,,,,,,,,,,,3785,7.097862232779098,2165.3318077803206,15.385469107551488
158,North Korea,Low,25779000.0,,,,,,,,,,,,,,,6356,7.188988516595881,0.24655727530160207,0.001772776290779317
159,North Macedonia,Upper middle,2083000.0,,,,,,,,,,,,,,35.6,16496,7.847405431619787,7.919347095535286,0.06214632741238598
160,Northern Mariana Islands,High,58000.0,,,,,,,,,,,,,,,1125,7.242806394316163,19.396551724137932,0.1406103448275862
161,Norway,High,5421000.0,9.0,16.0,3.0,6.0,16.0,10.0,23.0,2.0,9.0,9.0,57.0,32.0,56.0,27.5,155046,7.972579750525653,28.600996126175982,0.22802372256041326
162,Oman,High,5107000.0,,,,,,,,,,,,,,,24627,7.298012492901761,4.822204816917956,0.03523109457607206
163,Pakistan,Lower middle,220892000.0,,,,,,,,,,,,,,33.5,94118,7.636311863830513,0.42608152400268007,0.0032536913967006515
164,Palau,High,18000.0,,,,,,,,,,,,,,,1943862,6.873459952093629,107992.33333333333,742.4134833333335
165,Panama,High,4315000.0,,,,,,,,,,,,,,49.9,138253,7.062233134691044,32.04009269988413,0.22630570104287373
166,Papua New Guinea,Lower middle,8947000.0,,,,,,,,,,,,,,41.9,29684,7.580588671112009,3.3177601430647146,0.025159047725494578
167,Paraguay,Upper middle,7133000.0,,,,,,,,,,,,,,48.8,26989,7.779421245692688,3.7836814804430112,0.029434852095892326
168,Peru,Upper middle,32972000.0,55.0,55.0,58.0,55.0,58.0,39.0,559.0,49.0,37.0,59.0,29.0,33.0,58.0,43.3,80011,7.755713589381459,2.426634720368798,0.01882028387722916
169,Philippines,Lower middle,109581000.0,57.0,62.0,53.0,54.0,55.0,59.0,56.0,62.0,39.0,49.0,57.0,32.0,56.0,44.4,201076,7.638218445105278,1.8349531396866245,0.014017027586899196
170,Poland,High,37847000.0,32.0,30.0,37.0,35.0,29.0,32.0,28.0,46.0,36.0,23.0,29.0,33.0,38.0,31.8,3065464,7.9335082277812035,80.99622162919121,0.6425850291965014
171,Portugal,High,10197000.0,37.0,33.0,38.0,41.0,24.0,38.0,30.0,20.0,44.0,42.0,31.0,57.0,34.0,35.5,206439,7.680450956648099,20.245072080023537,0.1554995685005394
172,Puerto Rico,High,2861000.0,,,,,,,,,,,,,,,87041,7.334772322710302,30.423278573925202,0.22323498776651507
173,Qatar,High,2881000.0,30.0,45.0,25.0,24.0,15.0,53.0,60.0,29.0,19.0,31.0,27.0,17.0,28.0,,6940,7.441527377521614,2.4088858035404375,0.017925789656369314
174,Republic of Moldova,Lower middle,4034000.0,,,,,,,,,,,,,,25.9,222126,8.02722766705533,55.063460585027265,0.4420089241447693
175,Reunion,,895000.0,,,,,,,,,,,,,,,118014,7.323141755961206,131.85921787709498,0.9659592178770953
176,Romania,High,19238000.0,49.0,53.0,48.0,49.0,51.0,54.0,39.0,43.0,61.0,37.0,45.0,53.0,54.0,35.9,847778,7.669462844229308,44.067886474685515,0.3380001403472294
177,Russia,Upper middle,145934000.0,43.0,26.0,47.0,53.0,47.0,13.0,24.0,40.0,57.0,41.0,43.0,60.0,51.0,37.7,3768363,7.78857065146005,25.82237860950841,0.2011285999150301
178,Rwanda,Low,12952000.0,,,,,,,,,,,,,,43.7,5455,7.810724106324474,0.4211704756022236,0.0032896463866584316
179,Saint Barthelemy,,10000.0,,,,,,,,,,,,,,,18748,7.299728014505891,1874.8,13.687719999999995
180,"Saint Helena, Ascension and Tristan da Cunha",,6000.0,,,,,,,,,,,,,,,11965,7.594258733077053,1994.1666666666667,15.145483333333337
181,Saint Kitts and Nevis,High,53000.0,,,,,,,,,,,,,,,178857,7.4368037387357155,3374.6603773584907,25.100475471698108
182,Saint Lucia,Upper middle,184000.0,,,,,,,,,,,,,,,525,7.655047619047617,2.8532608695652173,0.021841847826086953
183,Saint Martin,High,39000.0,,,,,,,,,,,,,,,28273,7.291836085280913,724.9487179487179,5.2880769230769245
184,Saint Pierre and Miquelon,,6000.0,,,,,,,,,,,,,,,4697,7.33397190293742,782.8333333333334,5.7425
185,Saint Vincent and the Grenadines,Upper middle,111000.0,,,,,,,,,,,,,,,3989,7.299699248120301,35.93693693693694,0.2623945945945946
186,Samoa,Upper middle,198000.0,,,,,,,,,,,,,,38.7,883002,6.661089319240584,4459.606060606061,29.709198484848475
187,San Marino,High,34000.0,,,,,,,,,,,,,,,68982,7.327310272870866,2028.8823529411766,14.871638235294112
188,Sao Tome and Principe,Lower middle,219000.0,,,,,,,,,,,,,,30.8,2494957,7.429004138169831,11392.497716894977,84.64675159817355
189,Saudi Arabia,High,34814000.0,34.0,46.0,24.0,28.0,34.0,34.0,62.0,25.0,5.0,47.0,37.0,28.0,24.0,,32885,7.467331367601907,0.9445912563911071,0.007056149824783131
190,Senegal,Lower middle,16744000.0,,,,,,,,,,,,,,40.3,35957,7.417032326149746,2.1474558050645007,0.01595034042044912
191,Serbia,Upper middle,8737000.0,,,,,,,,,,,,,,39.6,70954,7.734821151732106,8.121094197092823,0.06281521117088244
192,Seychelles,High,98000.0,,,,,,,,,,,,,,46.8,60467,7.178073062230233,617.0102040816327,4.42909081632653
193,Sierra Leone,Low,7977000.0,,,,,,,,,,,,,,34.0,3183,7.08494825964252,0.39902218879277923,0.002832380594208348
194,Singapore,High,5850000.0,2.0,2.0,1.0,12.0,1.0,7.0,10.0,1.0,11.0,1.0,20.0,11.0,3.0,,2439834,7.447993227557985,417.065641025641,3.10637082051282
195,Sint Maarten,High,43000.0,,,,,,,,,,,,,,,1661146,7.049376173511142,38631.3023255814,272.41412558139524
196,Slovak Republic,High,5460000.0,50.0,51.0,51.0,51.0,53.0,52.0,38.0,61.0,47.0,38.0,50.0,62.0,44.0,26.5,117363,8.029062822184164,21.495054945054946,0.17258514652014656
197,Slovenia,High,2079000.0,31.0,29.0,35.0,37.0,35.0,22.0,33.0,38.0,28.0,34.0,38.0,31.0,31.0,25.4,123015,7.586453600370641,59.17027417027417,0.44894362674362653
198,Solomon Islands,Lower middle,687000.0,,,,,,,,,,,,,,37.1,430,7.657441860465119,0.6259097525473072,0.004792867540029114
199,Somalia,Low,15893000.0,,,,,,,,,,,,,,,85949,6.997711859477695,5.407978355250739,0.03785051909645756
200,South Africa,Upper middle,59309000.0,60.0,60.0,55.0,57.0,59.0,60.0,53.0,56.0,32.0,57.0,59.0,58.0,50.0,63.0,639820,7.290603607264546,10.787907400225935,0.0786503566069231
201,South Georgia and the South Sandwich Islands,,,,,,,,,,,,,,,,,1654,7.156952841596131,,
202,South Korea,High,51269000.0,8.0,10.0,12.0,3.0,21.0,11.0,4.0,26.0,25.0,3.0,1.0,3.0,15.0,31.6,1598821,7.626783669257113,31.184946068774504,0.23784143244455722
203,South Sudan,Low,11194000.0,,,,,,,,,,,,,,,903,7.171602209944752,0.0806682151152403,0.0005798016794711454
204,Spain,High,46755000.0,33.0,32.0,33.0,40.0,32.0,42.0,20.0,36.0,34.0,27.0,35.0,48.0,30.0,36.2,771556,7.784897531741052,16.50210672655331,0.1284672099240723
205,Sri Lanka,Lower middle,21413000.0,,,,,,,,,,,,,,39.8,28611,7.745689022472305,1.336150936347079,0.010350133096716951
206,State of Palestine,Lower middle,5101000.0,,,,,,,,,,,,,,,10145,7.728099743741379,1.9888257204469713,0.015371358557145665
207,Sudan,Low,43849000.0,,,,,,,,,,,,,,35.4,14262,7.231583006169378,0.32525257132431756,0.0023524208077721274
208,Suriname,Upper middle,587000.0,,,,,,,,,,,,,,57.6,1334,7.737031484257877,2.2725724020442932,0.017582964224872245
209,Svalbard and Jan Mayen,,2428.0,,,,,,,,,,,,,,,89296,6.250635519670314,36777.59472817134,229.88591433278418
210,Sweden,High,10099000.0,4.0,4.0,6.0,7.0,9.0,2.0,6.0,5.0,4.0,11.0,8.0,10.0,4.0,29.2,614310,7.897995474597506,60.82879493019111,0.4804255470838691
211,Switzerland,High,8655000.0,6.0,3.0,11.0,5.0,2.0,14.0,9.0,10.0,14.0,14.0,9.0,6.0,7.0,32.3,428157,7.797807112811418,49.46932409012132,0.3857522472559212
212,Syrian Arab Republic,Low,17501000.0,,,,,,,,,,,,,,35.8,57796,7.519737365698372,3.3024398605793954,0.024834769441746198
213,Taiwan,,23817000.0,11.0,18.0,5.0,8.0,18.0,21.0,18.0,16.0,8.0,4.0,14.0,1.0,17.0,,926288,7.729512095590141,38.89188394844019,0.3006152873997565
214,Tajikistan,Low,9538000.0,,,,,,,,,,,,,,34.0,5786,7.76137227791221,0.6066261270706647,0.004708251205703506
215,Thailand,Upper middle,69800000.0,39.0,43.0,22.0,45.0,36.0,55.0,37.0,31.0,17.0,25.0,53.0,44.0,43.0,36.5,986643,7.627701607959448,14.13528653295129,0.10784816045845277
216,The Congo,Lower middle,5518000.0,,,,,,,,,,,,,,48.9,4150,7.386512524084776,0.7520840884378398,0.0055579557810801
217,The Democratic Republic of the Congo,Low,89561000.0,,,,,,,,,,,,,,42.1,3533,7.00138692329465,0.03944797400654303,0.0002761905293598776
218,The Gambia,Low,2417000.0,,,,,,,,,,,,,,,2226,7.587112707678488,0.9209764170459247,0.0069906909391808
219,Timor-Leste,Lower middle,1318000.0,,,,,,,,,,,,,,28.7,2778,6.999136069114471,2.1077389984825494,0.014752352048558421
220,Togo,Low,8279000.0,,,,,,,,,,,,,,43.1,14666,7.383074407195422,1.7714699842976205,0.013087812537746107
221,Tokelau,,1000.0,,,,,,,,,,,,,,,305,7.159344262295083,305.0,2.1836
222,Tonga,Upper middle,106000.0,,,,,,,,,,,,,,37.6,595347,7.740066902437305,5616.481132075472,43.48267358490566
223,Trinidad and Tobago,High,1399000.0,,,,,,,,,,,,,,40.3,4778,7.663708664713268,3.41529664045747,0.026173838456040027
224,Tunisia,Lower middle,11819000.0,,,,,,,,,,,,,,32.8,16725,7.894397608370698,1.4150943396226414,0.011171317370335894
225,Turkey,Upper middle,84339000.0,44.0,56.0,42.0,34.0,38.0,62.0,45.0,34.0,51.0,51.0,32.0,20.0,42.0,41.9,1582397,7.6727029909130495,18.762340079915578,0.1440061703363807
226,Turkmenistan,Upper middle,6031000.0,,,,,,,,,,,,,,40.8,11132,7.157132610060075,1.845796716962361,0.013235533079091364
227,Turks and Caicos Islands ,High,39000.0,,,,,,,,,,,,,,,638274,7.544560526237467,16366.0,123.48762564102572
228,Tuvalu,Upper middle,12000.0,,,,,,,,,,,,,,39.1,9196,6.902977290014127,766.3333333333334,5.294008333333334
229,Uganda,Low,45427637.0,,,,,,,,,,,,,,42.8,11875,7.868143157894736,0.26140474795112056,0.0020567699790328075
230,Ukraine,Lower middle,43785122.0,58.0,38.0,59.0,61.0,52.0,19.0,50.0,54.0,59.0,58.0,56.0,51.0,52.0,25.0,34661255,7.1763797012458586,791.6217522472588,5.681925451755051
231,United Arab Emirates,High,9865845.0,14.0,31.0,4.0,11.0,5.0,44.0,52.0,3.0,10.0,8.0,15.0,12.0,8.0,,68668,7.300608655134247,6.960174217210994,0.05081942803682802
232,United Kingdom,High,67886000.0,13.0,13.0,16.0,13.0,10.0,25.0,8.0,17.0,22.0,22.0,11.0,25.0,11.0,33.2,3119707,7.655727187987625,45.955086468491295,0.351820619862711
233,United Republic of Tanzania,Lower middle,59734000.0,,,,,,,,,,,,,,37.8,12621,7.7235084383170935,0.21128670438945993,0.001631874644256203
234,United States Minor Outlying Islands,,,,,,,,,,,,,,,,,30,7.230000000000002,,
235,United States of America,High,331003000.0,1.0,1.0,7.0,2.0,14.0,24.0,1.0,22.0,1.0,7.0,3.0,2.0,10.0,41.5,33633144,7.5631273453050145,101.60978601402404,0.7684879339462182
236,United States Virgin Islands,High,104000.0,,,,,,,,,,,,,,,1880,7.629186602870811,18.076923076923077,0.13798557692307686
237,Uruguay,High,3474000.0,,,,,,,,,,,,,,39.5,37028,7.911394080155556,10.65860679332182,0.08432443868739203
238,Uzbekistan,Lower middle,33469000.0,,,,,,,,,,,,,,35.3,343130,7.60418024883405,10.252173653231349,0.07799368370731129
239,Vanuatu,Lower middle,307000.0,,,,,,,,,,,,,,37.6,811,7.648458692971645,2.6416938110749184,0.020204885993485355
240,Venezuela,Upper middle,28436000.0,63.0,61.0,63.0,63.0,63.0,47.0,48.0,63.0,63.0,63.0,63.0,49.0,63.0,46.9,37339,8.169533195854203,1.3130890420593613,0.01072732451821635
241,Vietnam,Lower middle,97339000.0,,,,,,,,,,,,,,35.3,292468,7.501663087927566,3.0046332918973895,0.02253974665858494
242,Wallis and Futuna,,11000.0,,,,,,,,,,,,,,,2136,7.992134831460676,194.1818181818182,1.551927272727273
243,Western Sahara,,597000.0,,,,,,,,,,,,,,,208,7.321153846153845,0.34840871021775544,0.0025507537688442207
244,Yemen,Low,29826000.0,,,,,,,,,,,,,,36.7,1262846,7.752766314262546,42.34044122577617,0.3282810199155099
245,Zambia,Lower middle,18384000.0,,,,,,,,,,,,,,57.1,10102,7.357657301147609,0.5494995648389904,0.004045430809399479
246,Zimbabwe,Lower middle,14863000.0,,,,,,,,,,,,,,43.2,11340,7.425216011285488,0.7629684451322075,0.005666204669313059
