Google httpd,Web,10/27/2020,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Hyper-V Server 6.1,VM,10/27/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
IBM HTTP Server   ,Web,10/27/2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IdeaWebServer httpd,Web,10/27/2020,43945,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,565,10,10,43,10,10,10,10,0,6,0,0,0,0,0,0,0,6,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,1,6,6,2,0,5,5,5,5,5,5,5,6,6,8,82,8,8,8,0,74,74,80,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,420,751,420,0,607,607,607,607,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,0,8,0,607,0,607,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,0,592,592,0,592,592,795,795,795,795,795,795,795,0,607,0,0,0,0,0,0,0,4,0,0,15,82,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,4592,0,0,0,0,112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111,2,112,607,0,0,0,0,0,0,0,794,5,14483,607,0,607,607,0,0,,607,607,0,607,0,0,0,0,0,815,0,0,0,0,0,0
Jetty,Web,10/27/2020,7009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,304,304,304,304,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,304,0,304,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,304,304,0,304,304,1,1,1,1,1,1,1,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,1,0,304,304,0,304,304,0,0,304,304,304,0,304,0,0,0,0,0,1,0,0,0,0,0,0
lighttpd,Web,10/27/2020,8422318,0,30,0,0,0,1076,606,1101,1101,277,495,0,0,1101,0,15,21,1101,495,0,0,2,28,2,2,8,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,267844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,252,0,0,0,0,0,0,0,0,0,0,0,0,1101,14,0,0,0,0,0,0,0,1,1,1,1,1,1,1,267,4,6569,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,32,19,0,275291,275407,275407,275405,275405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,1535,35,0,0,0,0,0,1,10779,277058,2937,277064,0,0,0,0,0,0,277187,0,0,0,0,0,0,0,1926849,0,0,274697,274698,31501,265747,276663,42,42,42,42,42,42,42,0,277336,0,0,0,0,0,0,0,0,0,9007,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2936,2936,0,4659,4659,4659,35133,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,9,277321,0,0,0,0,0,0,0,42,3,277485,277485,10832,277488,277486,36,0,277786,277787,277785,4514,277786,9071,0,0,0,0,52,0,0,0,0,0,0
LiteSpeed httpd ,Web,10/27/2020,263314,0,630,9,0,0,114,104,122,122,13,18,0,0,122,0,1195,0,122,18,0,0,9,524,9,9,84,9,9,9,9,0,9,0,0,0,0,0,0,0,9,0,0,4993,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,,0,0,0,4,0,9,9,9,9,9,9,9,4,4,6,54,8,7,7,0,49,49,53,49,8,0,1,0,0,0,0,0,0,0,0,0,0,122,1,0,0,0,0,0,0,0,6,6,6,6,6,6,6,1,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,129,330,908,330,0,5045,5045,5045,5045,5045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,901,0,0,0,0,0,11,170,5185,25,5186,0,0,0,0,0,0,5196,0,0,0,0,0,0,0,0,0,0,5159,5160,540,5101,14509,1101,1101,1101,1101,1101,1101,1101,0,5211,0,0,0,0,0,0,0,8,0,37,25,74,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,96,96,119,161,161,161,0,168,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,166,5214,0,0,0,0,0,0,0,1102,33,607,14483,9292,14482,14481,17,,23910,23912,23909,101,23909,9260,0,0,0,0,1190,0,0,0,0,0,0
Lotus Domino httpd ,Web,10/27/2020,677130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,156051,156051,365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Microsoft Exchange 2010 smtpd,Mail,10/27/2020,19738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft IIS httpd,Web,10/27/2020,4828496,0,2083,77,0,0,13781,1935,14798,14798,11034,12863,10,10,14798,0,8449,14629,14798,12863,2,10,28,1924,28,28,210,28,28,28,28,0,27,0,0,0,0,0,0,0,27,2,4,164551,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10873,23,23,23,23,23,23,23,7,7,7,5,5,2,50,47,47,47,47,47,47,47,7,7,10,130,12,12,12,0,141,141,148,141,11105,0,29,0,0,0,0,0,0,0,0,0,0,14799,70,8,2,8,2,7,2,2,21,21,21,21,21,21,21,367,77,15631,0,0,0,7,9,0,0,0,0,0,0,0,0,132,1613,2266,1613,0,181143,181436,181433,181435,181435,0,0,0,0,10,10,10,10,10,10,10,10,10,0,129,0,9,9,0,5748,2288,0,0,0,0,0,40,27319,186747,15132,186746,0,10,10,10,0,0,187652,0,0,11,10,6,10,10,0,0,0,180824,180823,51073,159067,194520,2488,2488,2488,2488,2488,2488,2488,0,188163,0,0,0,10,10,10,10,9,0,18256,32,167,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,554,11,5,9641,9641,15883,19198,19198,19198,0,410,0,10,13,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,383,383,24,402,187949,0,10,10,10,11,10,10,2486,64,192431,192429,32418,192432,192430,124,0,205848,205848,205850,15297,205849,26044,6,5,1,6,2603,0,0,0,0,0,0
MongoDB,Database,10/27/2020,217684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,66,1468,10788,10685,11417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12819,732,31010,18928,12819,12812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12819,0,0,0,0,0,0,0,0,0,0,0,0,0,18376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19351,31439,12088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nginx,Web,10/27/2020,9410056,0,12576,445,0,0,24592,16999,49340,49340,6413,32341,76,76,49340,0,13914,37238,49340,32341,5,78,270,10834,270,270,1672,270,270,270,270,0,320,0,0,0,0,0,0,0,320,7,27,204220,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5201,48,48,48,48,48,48,48,29,29,29,48,48,67,256,368,368,368,368,368,368,368,92,92,123,1199,144,131,131,0,1166,1166,1258,1166,5530,0,552,0,0,0,0,0,0,0,0,0,0,49340,1405,71,19,71,19,56,19,14,185,185,185,185,185,185,185,9864,2300,56389,0,0,0,56,58,0,0,0,0,0,0,0,0,1530,9023,15039,9023,0,225752,229298,229299,229299,229298,0,0,0,0,79,79,79,79,79,79,79,79,79,0,1608,0,64,62,0,12973,15295,0,0,0,0,0,272,113582,284298,44521,284299,0,79,79,79,0,0,290159,0,0,84,67,32,67,67,0,0,0,275199,275203,169586,208875,401651,17632,17632,17632,17632,17632,17632,17632,0,303849,0,0,0,79,79,79,79,137,0,54624,1019,2001,0,15,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,6960,86,33,76372,76372,98687,107706,107707,107705,0,5547,0,69,618,0,0,0,86,1,22,0,0,0,5,0,0,0,484,484,0,0,0,0,0,68,68,68,68,5055,5055,556,5481,295059,0,68,68,68,85,68,68,17636,559,366033,366034,147703,366034,366034,1315,0,471103,471102,471104,80341,471105,115666,34,32,8,34,18902,0,0,0,0,0,0
Node.js,Web,10/27/2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenSSH,Data,10/27/2020,13623979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7234424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30330,0,0,0,5202679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289153,289150,289153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oracle GlassFish,Web,10/27/2020,4248,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,531,531,531,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
